证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期
836149,旭杰科技,75015600,44695997,2020-07-27,专业技术服务业,江苏省,2025-05-23
836208,青矩技术,96071718,60461065,2023-06-29,专业技术服务业,北京市,2025-05-23
836221,易实精密,96700000,41385057,2023-06-08,汽车制造业,江苏省,2025-05-23
836239,长虹能源,130053003,49710084,2021-02-09,电气机械和器材制造业,四川省,2025-05-23
836247,华密新材,121187820,87873202,2022-12-23,橡胶和塑料制品业,河北省,2025-05-23
836260,中寰股份,103550000,98960709,2021-11-15,仪器仪表制造业,四川省,2025-05-23
836263,中航泰达,141242896,102549192,2020-07-27,生态保护和环境治理业,北京市,2025-05-23
836270,天铭科技,104616000,81086317,2022-09-02,通用设备制造业,浙江省,2025-05-23
836395,朗鸿科技,152585704,103738024,2022-09-01,计算机、通信和其他电子设备制造业,浙江省,2025-05-23
836414,欧普泰,79748171,55275836,2022-12-12,专用设备制造业,上海市,2025-05-23
836419,万德股份,89258104,62994354,2023-09-15,化学原料和化学制品制造业,陕西省,2025-05-23
836422,XD润普食,88482710,66222710,2023-03-01,食品制造业,江苏省,2025-05-23
836433,大唐药业,255919681,169355422,2020-07-27,医药制造业,内蒙古自治区,2025-05-23
836504,博迅生物,43333100,17097703,2023-08-17,仪器仪表制造业,上海市,2025-05-23
836547,无锡晶海,77688000,35604000,2023-12-12,医药制造业,江苏省,2025-05-23
836675,秉扬科技,172164000,78972870,2020-12-28,非金属矿物制品业,四川省,2025-05-23
836699,海达尔,45625300,20875300,2023-05-09,金属制品业,江苏省,2025-05-23
836717,瑞星股份,114680000,41880000,2023-07-03,专用设备制造业,河北省,2025-05-23
836720,吉冈精密,190219400,51134559,2021-11-24,汽车制造业,江苏省,2025-05-23
836807,奔朗新材,181880000,123632757,2022-12-20,非金属矿物制品业,广东省,2025-05-23
836826,盖世食品,140515814,62013062,2021-01-12,农副食品加工业,辽宁省,2025-05-23
836871,DR派特尔,84985577,44187733,2022-07-22,橡胶和塑料制品业,广东省,2025-05-23
836892,DR广咨国,170351353,146216069,2021-10-28,专业技术服务业,广东省,2025-05-23
836942,恒立钻具,61327100,41252514,2022-12-08,专用设备制造业,湖北省,2025-05-23
836957,汉维科技,107301334,42704734,2022-12-14,化学原料和化学制品制造业,广东省,2025-05-23
836961,西磁科技,70790000,37369400,2023-12-21,专用设备制造业,浙江省,2025-05-23
837006,晟楠科技,90287200,34291876,2023-05-18,铁路、船舶、航空航天和其他运输设备制造业,江苏省,2025-05-23
837023,芭薇股份,85800000,34266410,2024-03-29,化学原料和化学制品制造业,广东省,2025-05-23
837046,亿能电力,101150000,51438737,2022-10-13,电气机械和器材制造业,江苏省,2025-05-23
837092,汉鑫科技,62079700,31929705,2021-11-15,软件和信息技术服务业,山东省,2025-05-23
837174,宏裕包材,81333334,81333334,2023-08-18,橡胶和塑料制品业,湖北省,2025-05-23
837212,智新电子,106100000,51332127,2021-06-08,计算机、通信和其他电子设备制造业,山东省,2025-05-23
837242,建邦科技,65838250,36619225,2020-07-27,商务服务业,山东省,2025-05-23
837344,三元基因,121810000,113560796,2021-01-08,医药制造业,北京市,2025-05-23
837403,康农种业,70972200,41445950,2024-01-18,农业,湖北省,2025-05-23
837592,华信永道,62150000,38181216,2023-07-10,软件和信息技术服务业,北京市,2025-05-23
837663,明阳科技,103153300,48663721,2023-03-15,汽车制造业,江苏省,2025-05-23
837748,路桥信息,76740000,62347575,2023-08-16,软件和信息技术服务业,福建省,2025-05-23
837821,则成电子,98829928,50877946,2022-07-06,计算机、通信和其他电子设备制造业,广东省,2025-05-23
838030,德众汽车,178839681,112474041,2020-11-27,零售业,湖南省,2025-05-23
838163,方大新材,128715160,61377435,2020-07-27,橡胶和塑料制品业,河北省,2025-05-23
838171,邦德股份,130823000,57884931,2022-06-02,汽车制造业,山东省,2025-05-23
838227,美登科技,38941500,17623704,2022-12-28,软件和信息技术服务业,浙江省,2025-05-23
838262,太湖雪,69114185,31185407,2022-12-30,纺织业,江苏省,2025-05-23
838275,驱动力,159377600,74975944,2021-01-25,农副食品加工业,广东省,2025-05-23
838402,硅烷科技,422060067,422060067,2022-09-28,化学原料和化学制品制造业,河南省,2025-05-23
838670,恒进感应,134000000,66002900,2022-07-05,通用设备制造业,湖北省,2025-05-23
838701,豪声电子,98000000,71576600,2023-07-19,计算机、通信和其他电子设备制造业,浙江省,2025-05-23
838810,春光智能,68500000,44576818,2022-12-16,通用设备制造业,辽宁省,2025-05-23
838837,华原股份,151712787,136787787,2023-05-15,汽车制造业,广西壮族自治区,2025-05-23
838924,广脉科技,107571500,61813660,2021-11-03,软件和信息技术服务业,浙江省,2025-05-23
838971,天马新材,106008002,84352802,2022-09-27,计算机、通信和其他电子设备制造业,河南省,2025-05-23
839273,一致魔芋,103188407,67759167,2023-02-21,食品制造业,湖北省,2025-05-23
839371,欧福蛋业,205445536,193653671,2023-01-18,农副食品加工业,江苏省,2025-05-23
839493,并行科技,58230000,32435568,2023-11-01,软件和信息技术服务业,北京市,2025-05-23
839680,*ST广道,66999900,46893344,2021-11-15,软件和信息技术服务业,广东省,2025-05-23
839719,宁新新材,93093400,73193662,2023-05-26,非金属矿物制品业,江西省,2025-05-23
839725,惠丰钻石,91275000,42077762,2022-07-18,非金属矿物制品业,河南省,2025-05-23
839729,永顺生物,273350000,76825041,2020-07-27,医药制造业,广东省,2025-05-23
839790,联迪信息,78967020,54348958,2022-09-02,软件和信息技术服务业,江苏省,2025-05-23
839792,东和新材,165540000,100358838,2023-03-30,非金属矿物制品业,辽宁省,2025-05-23
839946,华阳变速,134990443,97028595,2021-07-20,汽车制造业,湖北省,2025-05-23
870199,倍益康,68109800,37201495,2022-12-01,计算机、通信和其他电子设备制造业,四川省,2025-05-23
870204,沪江材料,94287797,49986938,2022-01-18,橡胶和塑料制品业,江苏省,2025-05-23
870299,灿能电力,90109276,45080484,2022-06-10,仪器仪表制造业,江苏省,2025-05-23
870357,雅葆轩,80080000,44514600,2022-11-18,计算机、通信和其他电子设备制造业,安徽省,2025-05-23
870436,大地电气,94476000,88868151,2021-11-15,汽车制造业,江苏省,2025-05-23
870508,丰安股份,62240000,40899548,2022-12-16,通用设备制造业,浙江省,2025-05-23
870656,海昇药业,80000000,20000100,2024-02-02,医药制造业,浙江省,2025-05-23
870726,鸿智科技,60521738,54919438,2023-08-08,电气机械和器材制造业,广东省,2025-05-23
870866,绿亨科技,180205900,93609737,2022-12-09,化学原料和化学制品制造业,广东省,2025-05-23
870976,视声智能,70953400,42627200,2023-09-01,计算机、通信和其他电子设备制造业,广东省,2025-05-23
871245,威博液压,49695000,24355026,2022-01-06,通用设备制造业,江苏省,2025-05-23
871263,莱赛激光,79541667,43241142,2023-12-28,仪器仪表制造业,江苏省,2025-05-23
871396,常辅股份,59980280,42343519,2020-11-18,仪器仪表制造业,江苏省,2025-05-23
871478,巨能股份,76479097,23000000,2023-05-12,通用设备制造业,宁夏回族自治区,2025-05-23
871553,凯腾精工,143690460,91865218,2021-08-06,专用设备制造业,北京市,2025-05-23
871634,XD新威凌,63762046,32780776,2022-11-24,金属制品业,湖南省,2025-05-23
871642,通易航天,103670278,100589878,2021-08-16,橡胶和塑料制品业,江苏省,2025-05-23
871694,中裕科技,132840630,62490441,2023-04-24,橡胶和塑料制品业,江苏省,2025-05-23
871753,天纺标,81404368,31483900,2022-10-31,专业技术服务业,天津市,2025-05-23
871857,泓禧科技,74007152,74007152,2022-02-28,计算机、通信和其他电子设备制造业,重庆市,2025-05-23
871970,大禹生物,111360400,69040900,2022-05-18,食品制造业,山西省,2025-05-23
871981,晶赛科技,76468000,37309618,2021-11-15,计算机、通信和其他电子设备制造业,安徽省,2025-05-23
872190,雷神科技,100000001,98675051,2022-12-23,计算机、通信和其他电子设备制造业,山东省,2025-05-23
872351,华光源海,88035439,35260439,2022-12-29,多式联运和运输代理业,湖南省,2025-05-23
872374,云里物里,81518000,33789881,2022-11-29,计算机、通信和其他电子设备制造业,广东省,2025-05-23
872392,佳合科技,58700000,28073000,2022-12-30,造纸和纸制品业,江苏省,2025-05-23
872541,铁大科技,136700000,90058684,2023-03-10,铁路、船舶、航空航天和其他运输设备制造业,上海市,2025-05-23
872808,曙光数创,200000001,194603262,2022-11-18,通用设备制造业,北京市,2025-05-23
872895,花溪科技,56524000,28736900,2023-04-06,专用设备制造业,河南省,2025-05-23
872925,锦好医疗,97686643,55295053,2021-10-25,专用设备制造业,广东省,2025-05-23
872931,无锡鼎邦,93930000,28775800,2024-04-08,专用设备制造业,江苏省,2025-05-23
872953,国子软件,91904900,27263667,2023-08-23,软件和信息技术服务业,山东省,2025-05-23
873001,纬达光电,153656204,88691020,2022-12-27,计算机、通信和其他电子设备制造业,广东省,2025-05-23
873122,中纺标,92242108,34089138,2022-09-27,专业技术服务业,北京市,2025-05-23
873132,泰鹏智能,82824000,28123225,2023-11-16,家具制造业,山东省,2025-05-23
