板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
创业板,300059,东方财富,2010-03-19,"15,804,037,675","13,376,386,383",J 金融业
创业板,300061,旗天科技,2010-03-19,"658,993,677","622,169,705",L 商务服务
创业板,300062,中能电气,2010-03-19,"557,606,117","386,116,997",C 制造业
创业板,300063,天龙集团,2010-03-26,"758,527,150","626,554,443",L 商务服务
创业板,300065,海兰信,2010-03-26,"720,494,503","655,846,610",C 制造业
创业板,300066,三川智慧,2010-03-26,"1,040,033,262","1,005,910,348",C 制造业
创业板,300067,安诺其,2010-04-21,"1,154,374,574","937,483,681",C 制造业
创业板,300068,南都电源,2010-04-21,"898,153,829","852,841,250",C 制造业
创业板,300069,金利华电,2010-04-21,"117,000,000","117,000,000",C 制造业
创业板,300070,碧水源,2010-04-21,"3,624,209,363","3,371,838,197",N 公共环保
创业板,300071,福石控股,2010-04-21,"963,884,336","945,350,866",L 商务服务
创业板,300072,海新能科,2010-04-27,"2,349,720,302","2,331,362,770",C 制造业
创业板,300073,当升科技,2010-04-27,"506,500,774","505,971,312",C 制造业
创业板,300074,华平股份,2010-04-27,"544,901,600","542,001,050",I 信息技术
创业板,300075,数字政通,2010-04-27,"621,130,158","515,438,476",I 信息技术
创业板,300076,GQY视讯,2010-04-30,"424,000,000","424,000,000",C 制造业
创业板,300077,国民技术,2010-04-30,"583,126,700","566,327,900",C 制造业
创业板,300078,思创医惠,2010-04-30,"1,117,872,230","1,113,367,148",C 制造业
创业板,300079,数码视讯,2010-04-30,"1,427,518,462","1,281,479,656",C 制造业
创业板,300080,易成新能,2010-06-25,"1,873,380,436","1,870,855,549",C 制造业
创业板,300081,恒信东方,2010-05-20,"604,795,417","604,703,842",I 信息技术
创业板,300082,奥克股份,2010-05-20,"680,098,200","678,207,963",C 制造业
创业板,300083,创世纪,2010-05-20,"1,664,862,589","1,493,035,214",C 制造业
创业板,300084,海默科技,2010-05-20,"510,247,899","344,647,379",B 采矿业
创业板,300085,银之杰,2010-05-26,"706,640,535","652,012,860",I 信息技术
创业板,300086,康芝药业,2010-05-26,"455,124,411","440,682,522",C 制造业
创业板,300087,荃银高科,2010-05-26,"947,331,751","895,672,569",A 农林牧渔
创业板,300088,长信科技,2010-05-26,"2,497,733,579","2,485,503,647",C 制造业
创业板,300091,金通灵,2010-06-25,"1,489,164,214","1,476,033,276",C 制造业
创业板,300092,科新机电,2010-07-08,"273,923,271","209,866,256",C 制造业
创业板,300093,*ST金刚,2010-07-08,"216,000,000","215,656,800",C 制造业
创业板,300094,国联水产,2010-07-08,"1,128,167,253","1,105,517,399",C 制造业
创业板,300095,华伍股份,2010-07-28,"420,090,164","338,727,079",C 制造业
创业板,300096,ST易联众,2010-07-28,"430,000,000","430,000,000",I 信息技术
创业板,300097,ST智云,2010-07-28,"288,549,669","270,009,948",C 制造业
创业板,300098,高新兴,2010-07-28,"1,737,782,275","1,541,743,627",I 信息技术
创业板,300099,尤洛卡,2010-08-06,"737,265,255","581,412,240",C 制造业
创业板,300100,双林股份,2010-08-06,"560,981,543","541,330,636",C 制造业
创业板,300101,振芯科技,2010-08-06,"567,905,700","566,043,415",I 信息技术
创业板,300102,乾照光电,2010-08-12,"920,333,863","916,339,888",C 制造业
创业板,300103,达刚控股,2010-08-12,"317,601,000","317,340,610",C 制造业
创业板,300105,龙源技术,2010-08-20,"515,814,420","513,213,525",C 制造业
创业板,300106,西部牧业,2010-08-20,"211,332,310","211,332,310",C 制造业
创业板,300107,建新股份,2010-08-20,"562,584,868","347,090,217",C 制造业
创业板,300108,*ST吉药,2010-08-25,"666,014,674","644,102,225",C 制造业
创业板,300109,新开源,2010-08-25,"484,700,005","448,473,129",C 制造业
创业板,300110,华仁药业,2010-08-25,"1,182,212,982","1,180,847,607",C 制造业
创业板,300111,向日葵,2010-08-27,"1,287,210,714","1,287,210,714",C 制造业
创业板,300112,万讯自控,2010-08-27,"291,945,920","237,642,186",C 制造业
创业板,300113,顺网科技,2010-08-27,"683,566,082","518,199,977",I 信息技术
创业板,300115,长盈精密,2010-09-02,"1,356,056,507","1,352,134,535",C 制造业
创业板,300118,东方日升,2010-09-02,"1,140,013,863","926,826,080",C 制造业
创业板,300119,瑞普生物,2010-09-17,"465,847,906","334,962,021",C 制造业
创业板,300120,经纬辉开,2010-09-17,"574,393,929","527,447,002",C 制造业
创业板,300121,阳谷华泰,2010-09-17,"448,720,639","432,889,290",C 制造业
创业板,300122,智飞生物,2010-09-28,"2,393,789,747","1,414,306,248",C 制造业
创业板,300123,亚光科技,2010-09-28,"1,021,834,123","1,000,418,818",C 制造业
创业板,300124,汇川技术,2010-09-28,"2,695,296,963","2,387,497,028",C 制造业
创业板,300125,*ST聆达,2010-10-13,"267,599,995","265,428,558",C 制造业
创业板,300126,锐奇股份,2010-10-13,"303,957,600","210,652,704",C 制造业
创业板,300127,银河磁体,2010-10-13,"323,146,360","230,816,140",C 制造业
创业板,300128,锦富技术,2010-10-13,"1,299,115,412","1,297,717,037",C 制造业
创业板,300129,泰胜风能,2010-10-19,"934,899,232","646,452,973",C 制造业
创业板,300130,新国都,2010-10-19,"567,299,123","434,164,808",C 制造业
创业板,300131,英唐智控,2010-10-19,"1,135,019,485","1,042,267,516",F 批发零售
创业板,300132,青松股份,2010-10-26,"516,580,886","508,081,284",C 制造业
创业板,300133,华策影视,2010-10-26,"1,901,073,701","1,623,843,501",R 文化传播
创业板,300134,大富科技,2010-10-26,"767,498,006","694,058,006",C 制造业
创业板,300135,宝利国际,2010-10-26,"921,600,000","921,600,000",C 制造业
创业板,300136,信维通信,2010-11-05,"967,568,638","824,567,926",C 制造业
创业板,300137,ST先河,2010-11-05,"536,582,210","530,034,106",C 制造业
创业板,300138,晨光生物,2010-11-05,"483,100,093","398,313,292",C 制造业
创业板,300139,晓程科技,2010-11-12,"274,000,000","233,659,225",B 采矿业
创业板,300140,节能环境,2010-11-12,"3,099,067,016","1,020,121,250",C 制造业
创业板,300141,和顺电气,2010-11-12,"253,884,600","252,788,760",C 制造业
创业板,300142,沃森生物,2010-11-12,"1,599,348,541","1,556,078,139",C 制造业
创业板,300143,盈康生命,2010-12-09,"749,451,604","641,376,680",Q 卫生
创业板,300144,宋城演艺,2010-12-09,"2,622,670,440","2,355,374,704",R 文化传播
创业板,300145,南方泵业,2010-12-09,"1,920,900,236","1,903,993,301",C 制造业
创业板,300146,汤臣倍健,2010-12-15,"1,700,845,431","1,129,987,059",C 制造业
创业板,300147,ST香雪,2010-12-15,"661,279,045","657,398,353",C 制造业
创业板,300148,天舟文化,2010-12-15,"835,339,343","806,745,896",R 文化传播
创业板,300149,睿智医药,2010-12-22,"497,963,992","474,563,469",M 科研服务
创业板,300150,世纪瑞尔,2010-12-22,"585,106,053","460,223,232",I 信息技术
创业板,300151,昌红科技,2010-12-22,"532,508,734","368,697,021",C 制造业
创业板,300152,ST新动力,2010-12-29,"712,800,000","712,618,425",C 制造业
创业板,300153,科泰电源,2010-12-29,"320,000,000","318,330,118",C 制造业
创业板,300154,瑞凌股份,2010-12-29,"449,555,201","315,086,151",C 制造业
创业板,300155,安居宝,2011-01-07,"561,227,744","330,726,776",C 制造业
创业板,300157,新锦动力,2011-01-07,"725,488,257","701,497,570",C 制造业
创业板,300158,振东制药,2011-01-07,"1,005,319,756","1,004,703,142",C 制造业
创业板,300159,*ST新研,2011-01-07,"1,501,965,923","1,471,839,203",C 制造业
创业板,300160,秀强股份,2011-01-13,"772,946,292","762,159,517",C 制造业
创业板,300161,华中数控,2011-01-13,"198,696,906","194,994,903",C 制造业
创业板,300162,雷曼光电,2011-01-13,"419,510,030","346,370,780",C 制造业
创业板,300163,ST先锋,2011-01-13,"474,000,000","436,349,578",C 制造业
创业板,300164,通源石油,2011-01-13,"588,458,629","583,210,778",B 采矿业
创业板,300165,ST天瑞,2011-01-25,"495,511,725","420,534,679",C 制造业
创业板,300166,东方国信,2011-01-25,"1,138,745,748","905,777,562",I 信息技术
创业板,300167,*ST迪威,2011-01-25,"360,550,000","358,608,750",I 信息技术
创业板,300168,万达信息,2011-01-25,"1,441,777,126","1,439,182,545",I 信息技术
创业板,300169,天晟新材,2011-01-25,"325,984,340","301,735,782",C 制造业
创业板,300170,汉得信息,2011-02-01,"984,845,711","947,611,067",I 信息技术
创业板,300171,东富龙,2011-02-01,"765,828,040","562,657,355",C 制造业
创业板,300172,中电环保,2011-02-01,"676,710,000","523,512,387",D 水电煤气
创业板,300173,福能东方,2011-02-01,"734,725,698","734,725,698",C 制造业
创业板,300174,元力股份,2011-02-01,"364,210,360","362,945,901",C 制造业
创业板,300175,ST朗源,2011-02-15,"470,800,000","470,800,000",C 制造业
创业板,300176,鸿特科技,2011-02-15,"387,280,800","387,280,800",C 制造业
创业板,300177,中海达,2011-02-15,"744,169,066","606,303,251",C 制造业
创业板,300179,四方达,2011-02-15,"485,908,830","375,599,229",C 制造业
创业板,300180,华峰超纤,2011-02-22,"1,761,060,155","1,485,388,692",C 制造业
创业板,300181,佐力药业,2011-02-22,"701,387,335","602,910,919",C 制造业
创业板,300182,捷成股份,2011-02-22,"2,663,825,632","2,258,902,057",R 文化传播
